id	RI	Na	Mg	Al	Si	K	Ca	Ba	Fe	class
0	151.793	12.79	3.5	1.12	73.03	0.64	8.77	0.0	0	build wind float
1	151.643	12.16	3.52	1.35	72.89	0.57	8.53	0.0	0	vehic wind float
2	151.793	13.21	3.48	1.41	72.64	0.59	8.43	0.0	0	build wind float
3	151.299	14.4	1.74	1.54	74.55	0	7.59	0.0	0	tableware
4	153.393	12.3	0	1	70.16	0.12	16.19	0.0	0.24	build wind non-float
5	151.655	12.75	2.85	1.44	73.27	0.57	8.79	0.11	0.22	build wind non-float
6	151.779	13.64	3.65	0.65	73	0.06	8.93	0.0	0	vehic wind float
7	151.837	13.14	2.84	1.28	72.85	0.55	9.07	0.0	0	build wind float
8	151.545	14.14	0	2.68	73.39	0.08	9.07	0.61	0.05	headlamps
9	151.789	13.19	3.9	1.3	72.33	0.55	8.44	0.0	0.28	build wind non-float
10	151.625	13.36	3.58	1.49	72.72	0.45	8.21	0.0	0	build wind non-float
11	151.743	12.2	3.25	1.16	73.55	0.62	8.9	0.0	0.24	build wind non-float
12	152.223	13.21	3.77	0.79	71.99	0.13	10.02	0.0	0	build wind float
13	152.121	14.03	3.76	0.58	71.79	0.11	9.65	0.0	0	vehic wind float
14	151.665	13.14	3.45	1.76	72.48	0.6	8.38	0.0	0.17	vehic wind float
15	151.707	13.48	3.48	1.71	72.52	0.62	7.99	0.0	0	build wind non-float
16	151.719	14.75	0	2	73.02	0	8.53	1.59	0.08	headlamps
17	151.629	12.71	3.33	1.49	73.28	0.67	8.24	0.0	0	build wind non-float
18	151.994	13.27	0	1.76	73.03	0.47	11.32	0.0	0	containers
19	151.811	12.96	2.96	1.43	72.92	0.6	8.79	0.14	0	build wind non-float
20	152.152	13.05	3.65	0.87	72.22	0.19	9.85	0.0	0.17	build wind float
21	152.475	11.45	0	1.88	72.19	0.81	13.24	0.0	0.34	build wind non-float
22	151.841	12.93	3.74	1.11	72.28	0.64	8.96	0.0	0.22	build wind non-float
23	151.754	13.39	3.66	1.19	72.79	0.57	8.27	0.0	0.11	build wind float
24	152.058	12.85	1.61	2.17	72.18	0.76	9.7	0.24	0.51	containers
25	151.569	13.24	3.49	1.47	73.25	0.38	8.03	0.0	0	build wind non-float
26	15.159	12.82	3.52	1.9	72.86	0.69	7.97	0.0	0	build wind non-float
27	151.683	14.56	0	1.98	73.29	0	8.52	1.57	0.07	headlamps
28	151.687	13.23	3.54	1.48	72.84	0.56	8.1	0.0	0	build wind non-float
29	15.161	13.33	3.53	1.34	72.67	0.56	8.33	0.0	0	vehic wind float
30	151.674	12.87	3.56	1.64	73.14	0.65	7.99	0.0	0	build wind non-float
31	151.832	13.33	3.34	1.54	72.14	0.56	8.99	0.0	0	vehic wind float
32	151.115	17.38	0	0.34	75.41	0	6.65	0.0	0	tableware
33	151.645	13.44	3.61	1.54	72.39	0.66	8.03	0.0	0	build wind non-float
34	151.755	13	3.6	1.36	72.99	0.57	8.4	0.0	0.11	build wind float
35	151.571	12.72	3.46	1.56	73.2	0.67	8.09	0.0	0.24	build wind float
36	151.596	12.79	3.61	1.62	72.97	0.64	8.07	0.0	0.26	build wind float
37	15.173	12.35	2.72	1.63	72.87	0.7	9.23	0.0	0	build wind non-float
38	151.662	12.85	3.51	1.44	73.01	0.68	8.23	0.06	0.25	build wind non-float
39	151.409	14.25	3.09	2.08	72.28	1.1	7.08	0.0	0	build wind non-float
40	151.797	12.74	3.48	1.35	72.96	0.64	8.68	0.0	0	build wind float
41	151.806	13	3.8	1.08	73.07	0.56	8.38	0.0	0.12	build wind non-float
42	151.627	13	3.58	1.54	72.83	0.61	8.04	0.0	0	build wind non-float
43	15.159	13.24	3.34	1.47	73.1	0.39	8.22	0.0	0	build wind non-float
44	151.934	13.64	3.54	0.75	72.65	0.16	8.89	0.15	0.24	vehic wind float
45	151.755	12.71	3.42	1.2	73.2	0.59	8.64	0.0	0	build wind float
46	151.514	14.01	2.68	3.5	69.89	1.68	5.87	2.2	0	containers
47	151.766	13.21	3.69	1.29	72.61	0.57	8.22	0.0	0	build wind float
48	151.784	13.08	3.49	1.28	72.86	0.6	8.49	0.0	0	build wind float
49	152.177	13.2	3.68	1.15	72.75	0.54	8.52	0.0	0	build wind non-float
50	151.753	12.57	3.47	1.38	73.39	0.6	8.55	0.0	0.06	build wind float
51	151.851	13.2	3.63	1.07	72.83	0.57	8.41	0.09	0.17	build wind non-float
52	151.743	13.3	3.6	1.14	73.09	0.58	8.17	0.0	0	build wind float
53	151.593	13.09	3.59	1.52	73.1	0.67	7.83	0.0	0	build wind non-float
54	15.164	14.37	0	2.74	72.85	0	9.45	0.54	0	headlamps
55	151.735	13.02	3.54	1.69	72.73	0.54	8.44	0.0	0.07	build wind float
56	152.247	14.86	2.2	2.06	70.26	0.76	9.76	0.0	0	headlamps
57	152.099	13.69	3.59	1.12	71.96	0.09	9.4	0.0	0	build wind float
58	151.769	13.65	3.66	1.11	72.77	0.11	8.6	0.0	0	vehic wind float
59	151.846	13.41	3.89	1.33	72.38	0.51	8.28	0.0	0	build wind non-float
60	151.848	13.64	3.87	1.27	71.96	0.54	8.32	0.0	0.32	build wind non-float
61	151.905	13.6	3.62	1.11	72.64	0.14	8.76	0.0	0	build wind float
62	151.567	13.29	3.45	1.21	72.74	0.56	8.57	0.0	0	build wind float
63	152.213	14.21	3.82	0.47	71.77	0.11	9.57	0.0	0	build wind float
64	15.232	13.72	3.72	0.51	71.75	0.09	10.06	0.0	0.16	build wind float
65	151.556	13.87	0	2.54	73.23	0.14	9.41	0.81	0.01	headlamps
66	151.926	13.2	3.33	1.28	72.36	0.6	9.14	0.0	0.11	build wind float
67	152.211	14.19	3.78	0.91	71.36	0.23	9.14	0.0	0.37	vehic wind float
68	153.125	10.73	0	2.1	69.81	0.58	13.3	3.15	0.28	build wind non-float
69	152.152	13.05	3.65	0.87	72.32	0.19	9.85	0.0	0.17	build wind float
70	151.829	14.46	2.24	1.62	72.38	0	9.26	0.0	0	tableware
71	151.892	13.46	3.83	1.26	72.55	0.57	8.21	0.0	0.14	build wind non-float
72	151.888	14.99	0.78	1.74	72.5	0	9.95	0.0	0	tableware
73	151.829	13.24	3.9	1.41	72.33	0.55	8.31	0.0	0.1	build wind non-float
74	1.523	13.31	3.58	0.82	71.99	0.12	10.17	0.0	0.03	build wind float
75	151.652	13.56	3.57	1.47	72.45	0.64	7.96	0.0	0	build wind non-float
76	151.768	12.56	3.52	1.43	73.15	0.57	8.54	0.0	0	build wind float
77	151.215	12.99	3.47	1.12	72.98	0.62	8.35	0.0	0.31	build wind float
78	151.646	13.04	3.4	1.26	73.01	0.52	8.58	0.0	0	vehic wind float
79	151.721	12.87	3.48	1.33	73.04	0.56	8.43	0.0	0	build wind float
80	151.763	12.8	3.66	1.27	73.01	0.6	8.56	0.0	0	build wind float
81	151.742	13.27	3.62	1.24	73.08	0.55	8.07	0.0	0	build wind float
82	152.127	14.32	3.9	0.83	71.5	0	9.49	0.0	0	vehic wind float
83	151.779	13.21	3.39	1.33	72.76	0.59	8.59	0.0	0	build wind float
84	152.171	11.56	1.88	1.56	72.86	0.47	11.41	0.0	0	containers
85	1.518	13.71	3.93	1.54	71.81	0.54	8.21	0.0	0.15	build wind non-float
86	152.777	12.64	0	0.67	72.02	0.06	14.4	0.0	0	build wind non-float
87	15.175	12.82	3.55	1.49	72.75	0.54	8.52	0.0	0.19	build wind float
88	151.764	12.98	3.54	1.21	73	0.65	8.53	0.0	0	build wind float
89	152.177	13.75	1.01	1.36	72.19	0.33	11.14	0.0	0	build wind non-float
90	151.645	14.94	0	1.87	73.11	0	8.67	1.38	0	headlamps
91	151.786	12.73	3.43	1.19	72.95	0.62	8.76	0.0	0.3	build wind float
92	152.152	13.12	3.58	0.9	72.2	0.23	9.82	0.0	0.16	build wind float
93	151.937	13.79	2.41	1.19	72.76	0	9.77	0.0	0	tableware
94	151.514	14.85	0	2.42	73.72	0	8.39	0.56	0	headlamps
95	152.172	13.48	3.74	0.9	72.01	0.18	9.61	0.0	0.07	build wind float
96	151.732	14.95	0	1.8	72.99	0	8.61	1.55	0	headlamps
97	15.202	13.98	1.35	1.63	71.76	0.39	10.56	0.0	0.18	build wind non-float
98	151.605	12.9	3.44	1.45	73.06	0.44	8.27	0.0	0	build wind non-float
99	151.847	13.1	3.97	1.19	72.44	0.6	8.43	0.0	0	build wind non-float
