id	RI	Na	Mg	Al	Si	K	Ca	Ba	Fe	class
9	151.789	13.19	3.9	1.3	72.33	0.55	8.44	0.0	0.28	build wind non-float
197	151.593	13.25	3.45	1.43	73.17	0.61	7.86	0.0	0.0	build wind non-float
66	151.92600000000002	13.2	3.33	1.28	72.36	0.6	9.14	0.0	0.11	build wind float
191	151.778	13.21	2.81	1.29	72.98	0.51	9.02	0.0	0.09	build wind float
117	151.838	14.32	3.26	2.22	71.25	1.46	5.79	1.63	0.0	headlamps
111	151.61700000000002	14.95	0.0	2.27	73.3	0.0	8.71	0.67	0.0	headlamps
15	151.707	13.48	3.48	1.71	72.52	0.62	7.99	0.0	0.0	build wind non-float
86	152.77700000000002	12.64	0.0	0.67	72.02	0.06	14.4	0.0	0.0	build wind non-float
75	151.65200000000002	13.56	3.57	1.47	72.45	0.64	7.96	0.0	0.0	build wind non-float
144	151.631	13.34	3.57	1.57	72.87	0.61	7.89	0.0	0.0	build wind non-float
182	151.796	13.5	3.36	1.63	71.94	0.57	8.81	0.0	0.09	vehic wind float
170	151.667	12.94	3.61	1.26	72.75	0.56	8.6	0.0	0.0	build wind non-float
141	151.909	13.89	3.53	1.32	71.81	0.51	8.78	0.11	0.0	build wind float
73	151.829	13.24	3.9	1.41	72.33	0.55	8.31	0.0	0.1	build wind non-float
178	152.151	11.03	1.71	1.56	73.44	0.58	11.62	0.0	0.0	containers
167	151.839	12.85	3.67	1.24	72.57	0.62	8.68	0.0	0.35	build wind non-float
190	1.5190000000000001	13.49	3.48	1.35	71.95	0.55	9.0	0.0	0.0	build wind float
18	151.994	13.27	0.0	1.76	73.03	0.47	11.32	0.0	0.0	containers
45	151.755	12.71	3.42	1.2	73.2	0.59	8.64	0.0	0.0	build wind float
184	151.783	12.69	3.54	1.34	72.95	0.57	8.75	0.0	0.0	build wind float
